id,title,doi,publication_year,type,cited_by_count,authors,host_venue,publisher,concepts
https://openalex.org/W851862191,"Publication of pediatric residency research theses from Prince of Songkla University, Hat Yai, Thailand",https://doi.org/10.5372/1905-7415.0902.392,2015,article,4,"Somchit Jaruratanasirikul, Wassana Khotchasing",,,"Medicine, Family medicine, Residency training, Medical education, Medical school, Certification, Pediatrics, Continuing education, Political science, Law"
https://openalex.org/W2017465672,"Factors Affecting English Vocabulary Skill of Undergraduates At Prince of Songkla University, Pattani Campus",https://doi.org/10.5539/ass.v4n9p12,2009,article,4,"Thantawan Kruekaew, Phattrawan Tongkumchum, Chamnein Choonpradub",,,"Psychology, Test (biology), Vocabulary, Mathematics education, Arabic, Seniority, Turkish, Medical education, Medicine, Engineering, Linguistics, Paleontology, Philosophy, Biology, Aerospace engineering"
https://openalex.org/W2113505124,"TESTING THE MUSLIM STUDENTS' ATTITUDE TOWARDS WEARING HIJAB AT PRINCE OF SONGKLA UNIVERSITY PATTANI CAMPUS, THAILAND",,2014,article,4,"Afifi Lateh, Hamdia Mudor",,,"Psychology, Significant difference, Positive attitude, Statistical significance, Social psychology, Mathematics, Statistics"
https://openalex.org/W1590224704,"Premenstrual syndrome, dysmenorrhea, and relieving practice of female students in Prince of Songkla University",,2005,article,3,Sununta Youngwanichsetha,,,"Medicine, Traditional medicine, Psychology, Gynecology, Family medicine"
https://openalex.org/W4239327740,"The Prevalence of Alcohol and Substance Use Among Medical Students at The Faculty of Medicine, Prince of Songkla University, 2016",https://doi.org/10.31584/jhsmr.v36i2.4,2018,article,4,"Jarurin Pitanupong, Ornpailin Ratanapinsiri",,,"Alcohol Use Disorders Identification Test, Medicine, Logistic regression, Depression (economics), Alcohol consumption, Psychiatry, Alcohol abuse, Descriptive statistics, Family medicine, Cross-sectional study, Test (biology), Alcohol, Substance abuse, Poison control, Injury prevention, Environmental health, Internal medicine, Paleontology, Biochemistry, Chemistry, Biology, Economics, Macroeconomics, Statistics, Mathematics, Pathology"
https://openalex.org/W1588360229,"Effect of the Prince of Songkla University Birthing Bed on Duration, Pain, and Comfort Level during Second-Stage Labor in Primiparous Thais",,2013,article,4,"Sasitorn Phumdoung, Boonrueing Manasurakarn, Kitti Rattanasombat, Sukit Mahattanan, Kalaya Maneechot, Benjamach Chanudom, Somboon Kaewnak",,,"Medicine, Distress, Thais, Childbirth, Mann–Whitney U test, Physical therapy, Nursing, Obstetrics, Demography, Pregnancy, Clinical psychology, Sociology, Biology, Internal medicine, Genetics"
https://openalex.org/W2940189452,"Prevalence of Atypical Disorders and Associated Factors in Undergraduate Students of Prince of Songkla University, Songkhla, Thailand",https://doi.org/10.31584/jhsmr.201947,2019,article,2,Orapan Fumaneeshoat,,,"Body mass index, Overweight, Medicine, Logistic regression, Obesity, Odds ratio, Eating disorders, Confidence interval, Cross-sectional study, Demography, Gerontology, Clinical psychology, Internal medicine, Pathology, Sociology"
https://openalex.org/W4210886148,"Developing Expected Learning Outomes for the Bachelor of Business Administration Program, Faculty of Humanities and Social Sciences, Prince of Songkla University",https://doi.org/10.2991/assehr.k.220108.053,2022,article,3,"Phathara-on Wesarat, Rudsada Kaewsaeng‐on, Daranat Tansui, Kanyaprin Tongsamsi, Parichard Benrit, Warrapojn Panrod, Nursahida Useng",,,"Bachelor, Administration (probate law), Sociology, Library science, Computer science, Political science, Law"
https://openalex.org/W1739909129,"Prevalence of visual fatigue and its determinants among computer users in the Faculty of Medicine, Prince of Songkla University",,2009,article,2,"J Sornboot, P Phakthongsuk, S Thangtrison",,,"Optometry, Psychology, Computer science, Medical education, Medicine"
https://openalex.org/W2295843305,Mental Health and Associated Factors in Dental Students in Prince of Songkla University,,2013,article,1,"Sompid Kintarak, Wikul Visalseth",,,"Mental health, Psychology, Medicine, Political science, Psychiatry"
https://openalex.org/W145201125,Outcomes of the Prince of Songkla University Model to Building Nursing Research Capacity for Thai Nurses to the Asian Region : Participatory Action Research,,2012,article,2,Phechnoy Singchungchai,,,"Participatory action research, Nursing, Citizen journalism, Capacity building, Action research, Medicine, Descriptive statistics, Descriptive research, Data collection, Medical education, Psychology, Political science, Sociology, Pedagogy, Social science, Statistics, Mathematics, Anthropology, Law"
https://openalex.org/W2751696596,"Happiness Status and Related Factors Among Clinic-Medical Students of Prince of Songkla University, 2015",https://doi.org/10.31584/smj.2017.35.3.733,2017,article,2,"Jarurin Pitanupong, Supawan Kanapikkhu",,,"Happiness, Medicine, Medical history, Gerontology, Psychology, Family medicine, Internal medicine, Social psychology"
https://openalex.org/W2727281488,Receptive and productive knowledge of verb+noun and adjective+noun collocations of international program and english major students of Prince of Songkla University,,2014,dissertation,2,Nuramal Bueraheng,,,"Adjective, Noun, Linguistics, Verb, Mathematics, Natural language processing, Psychology, Computer science, Philosophy"
https://openalex.org/W2805590179,"The Prevalence of Alcohol and Substance Use Among Medical Students at The Faculty of Medicine, Prince of Songkla University, 2016",https://doi.org/10.31584/jhsmr.2018.36.2.4,2018,article,2,"Jarurin Pitanupong, Ornpailin Ratanapinsiri",,,"Alcohol Use Disorders Identification Test, Medicine, Logistic regression, Depression (economics), Alcohol consumption, Alcohol abuse, Psychiatry, Substance abuse, Family medicine, Descriptive statistics, Test (biology), Alcohol, Environmental health, Injury prevention, Poison control, Internal medicine, Paleontology, Biochemistry, Chemistry, Statistics, Mathematics, Biology, Economics, Macroeconomics"
https://openalex.org/W3203999489,Attitudes of Thai Medical students Towards Psychiatry A study at Prince of Songkla University,,2003,article,2,"Pichet Udomratn, Jaturaporn Sangkool",,,"Medical education, Psychology, Psychiatry, Medicine"
https://openalex.org/W2597034857,Common grammatical errors in foundation English I written assignments of Prince of Songkla University students with high and low English entrance examination scores,,2005,dissertation,5,Supalak Na-ngam,,,"Foundation (evidence), Mathematics education, Linguistics, Psychology, History, Philosophy, Archaeology"
https://openalex.org/W2611433602,The Prince of Songkla University Pain Curve for Predicting Labor Progress,,2017,article,1,"Sasitorn Phumdoung, Sukit Mahattana, Kalaya Maneechot, Sununta Youngwanichsetha, Benjamach Chanudom",,,"Cervical dilation, Medicine, Labor pain, Cervical dilatation, Visual analogue scale, Gold standard (test), Obstetrics, Pregnancy, Physical therapy, Cervix, Genetics, Gestation, Cancer, Internal medicine, Biology"
https://openalex.org/W4298142211,"Identifying Students' Entrepreneurian Mindset for the Bachelor of Business Administration Program, Faculty of Humanities and Social Sciences, Prince of Songkla University",https://doi.org/10.18502/kss.v7i14.11946,2022,article,2,"Phathara-on Wesarat, Parichard Benrit, Warrapojn Panrod, Kanyaprin Tongsamsi, Nursahida Useng, Rudsada Kaewsaeng‐on, Daranat Tansui",,,"Mindset, Bachelor, Curriculum, Entrepreneurship, Graduation (instrument), Pedagogy, Management, Psychology, Sociology, Political science, Engineering, Computer science, Economics, Mechanical engineering, Artificial intelligence, Law"
https://openalex.org/W652189873,Health behaviors and health risk behaviors of Prince of Songkla University students,,2006,article,1,Sununta Youngwanichsetha,,,"Sexual intercourse, Medicine, Reproductive health, Condom, Health promotion, Environmental health, Psychology, Public health, Population, Family medicine, Nursing, Syphilis, Human immunodeficiency virus (HIV)"
https://openalex.org/W2582089077,Smartphone and tablet usage among medical students in Prince of Songkla university,,2016,article,1,"Polathep Vichitkunakorn, Chidchanok Martmarn, Nanida Tiraset, Pakorn Arunsawat, Prin Boonthum, Prut Koonalintip, Sutharat Tatiyabanditsakul, Suwadee Eng-Chuan, Piyada Kongkamol, Chanon Kongkamol, Krishna Suvarnabhumi",,,"Interquartile range, Medicine, Spearman's rank correlation coefficient, Face masks, Descriptive statistics, Smartphone application, Medical education, Coronavirus disease 2019 (COVID-19), Multimedia, Statistics, Computer science, Internal medicine, Mathematics, Disease, Infectious disease (medical specialty)"
https://openalex.org/W4292572059,Reforming Religion-Based Higher Education for Sustainable Development: The Case of Islamic Studies International Program at Prince of Songkla University,https://doi.org/10.1007/978-3-031-07191-1_5,2022,book-chapter,3,"Muhammadafeefee Assalihee, Yusop Boonsuk",,,"Islam, Prosperity, Curriculum, Sustainable development, Political science, Islamic education, Sociology, Pedagogy, Economic growth, Law, Geography, Economics, Archaeology"
https://openalex.org/W1534213700,"Knowledge, attitude, and performance of the universal precautions by nursing students of the Faculty of Nursing, Prince of Songkla University",,2004,article,1,"Waraporn Kongsuwan, B Oearsakul, Yaowarat Matchim",,,"Nursing, Medicine, Psychology"
https://openalex.org/W3208261418,IOP Conference Series: Earth and Environmental Science,https://doi.org/10.1088/issn.1755-1315,2020,paratext,10375,"Inez Slamet, Rauza Sukma, Zuldadan Naspendra, Aprisal Aprisal, Nurul Hijri, Mimien Harianti",,,"Series (stratigraphy), Earth (classical element), Astrobiology, Geology, Physics, Astronomy, Paleontology"
https://openalex.org/W2163044519,Workplace Violence Directed at Nursing Staff at a General Hospital in Southern Thailand,https://doi.org/10.1539/joh.o7001,2008,article,199,"Chalermrat Kamchuchat, Virasakdi Chongsuvivatwong, Suparnee Oncheunjit, Teem‐Wing Yip, Rassamee Sangthong",,,"Harassment, Workplace violence, Verbal abuse, Medicine, Nursing, Nursing Assistant, Family medicine, Suicide prevention, Psychiatry, Poison control, Medical emergency, Nursing homes"
https://openalex.org/W1579602712,"The effects of using karaoke videotape of nursing care for cardiovascular disease patients on knowledge of nursing students, Faculty of Nursing, Prince of Songkla University,",,2007,article,2,"Kantaporn Yodchai, Areewan Oumtanee, W Sangkharak",,,"Nursing, Test (biology), Medicine, Nursing care, Disease, Volunteer, Psychology, Family medicine, Internal medicine, Paleontology, Biology, Agronomy"
https://openalex.org/W79423313,"Using a 360-degree assessment of pediatric residency training: experience at Prince of Songkla University, Thailand",https://doi.org/10.5372/1905-7415.0801.268,2014,article,1,"Somchit Jaruratanasirikul, Wassana Khotchasing",,,"Medicine, Family medicine, Residency training, Medical education, Continuing education"
https://openalex.org/W151392299,"Research conduct status and perceived barriers of research utilization in Master’s prepared nurses who graduated from the Faculty of Nursing, Prince of Songkla University",,2008,article,2,"Wipa Sae‐Sia, P Songwattana, W Kahawong, Sanrasern Suwan",,,"Graduation (instrument), Nursing, Sample (material), Research design, Quality (philosophy), Nursing research, Medical education, Medicine, Psychology, Sociology, Engineering, Mechanical engineering, Social science, Philosophy, Chemistry, Epistemology, Chromatography"
https://openalex.org/W2971679810,"Islamic Educational Administration and Management Program, Prince of Songkla University (PSU): Contributions and Challenges for Malay Muslim Community in Thailand",https://doi.org/10.15575/jpi.v5i1.2487,2019,article,1,"Niloh Wae-u-seng, Abdulhakam Henpiya, Samsoo Sa-U",,,"Malay, Islam, Context (archaeology), Muslim community, Political science, Presentation (obstetrics), Sociology, Library science, Geography, Medicine, Computer science, Philosophy, Linguistics, Archaeology, Radiology"
https://openalex.org/W2342507595,การพัฒนารูปแบบการจัดหาทรัพยากรสารสนเทศแบบมีส่วนร่วมของผูใชบริการ หองสมุดมหาวิทยาลัยสงขลานครินทร (The Development of Participatory Information Resources Acquisition Pattern for Users in Prince of Songkla University Libraries),,2016,article,1,"Kulwadee Tuppha, Chumchit Saechan",,,"Citizen journalism, Information needs, Library science, Computer science, Medical education, Sociology, World Wide Web, Medicine"
https://openalex.org/W2728421816,"Diversity of canopy ants at a reserve area of Prince of Songkla University, Songkhla",,2007,article,1,"T. Takodee, S. Watanasit, A. Nhusidum",,,"Canopy, Diversity (politics), Geography, Forestry, Ecology, Biology, Political science, Law"
https://openalex.org/W2381553141,"Health Promoting Behavior among University Students in Prince of Songkla University, Pattani Campus*",,2011,article,1,"Sureerut Rongruang, Somkiat Suknuntapong",,,"Cronbach's alpha, Health promotion, Psychology, Descriptive statistics, Stepwise regression, Health education, Promotion (chess), Medical education, Medicine, Clinical psychology, Public health, Nursing, Statistics, Political science, Psychometrics, Mathematics, Politics, Internal medicine, Law"
https://openalex.org/W4289097713,"Beliefs about English Language Learning, Attitudes and Motivation of Undergraduate Students of Prince of Songkla University, Surat Thani Campus",https://doi.org/10.55766/kpok7373,2018,article,2,"Urairat Adithepsathit, Jirada Wudthayagorn",,,"Psychology, Positive attitude, English language, Test (biology), Intrinsic motivation, Post hoc, Motivation to learn, Mathematics education, Social psychology, Medicine, Paleontology, Biology, Dentistry"
https://openalex.org/W2405808282,"Analysis of errors in written work by first year business administration students at Prince of Songkla University, Hat Yai Campus",,2002,dissertation,2,Chutima Srichai,,,"Administration (probate law), Psychology, Political science, Law"
https://openalex.org/W3185566973,"Preliminary survey of ants at a reserve area of Prince of Songkla University, Songkhla Province, Southern Thailand",,2005,article,1,"S. Watansit, Nawee Noon-anant, N. Binnima",,,Geography
https://openalex.org/W2776381447,Factors affecting production traits of dairy cattle under prince of Songkla University dairy farm condition,,1998,article,1,"P. Chiprasan, S. Tedprasit, S. Srimai",,,"Dairy cattle, Production (economics), Milk production, Dairy farming, Biotechnology, Agricultural science, Animal science, Mathematics, Environmental science, Biology, Economics, Macroeconomics"
https://openalex.org/W3199387951,"Factors influencing health promotion behavior of undergraduate students at Prince of Songkla University, Hat Yai campus.",,2014,article,1,"A. Saravirote, K. Janyam",,,"Promotion (chess), Psychology, Gerontology, Medical education, Sociology, Medicine, Political science, Law, Politics"
https://openalex.org/W3157032872,Bibliometric Analysis of Publications in the Scopus Database: A Study at Prince of Songkla University (PSU) during 1978-2021,,2021,article,1,"Pachisa Kulkanjanapiban, Tipawan Silwattananusarn",,,"Scopus, Library science, Political science, Computer science, MEDLINE, Law"
https://openalex.org/W192755517,Student perceptions of student -faculty interactions and academic achievement in undergraduate dental students at Prince of Songkla University,,2009,article,1,Duangporn Kerdpon,,,"Medical education, Mathematics education, Academic achievement, Perception, Psychology, Medicine, Neuroscience"
https://openalex.org/W940068683,"Criteria for placing first year students in required English courses at Prince of Songkla University, Hat Yai Campus",,2002,article,1,"Adisa Teo, Monta Chatupote",,,"Mathematics education, Sociology, Computer science, Psychology"
https://openalex.org/W1981565860,Associated factors of tooth wear in southern Thailand,https://doi.org/10.1046/j.1365-2842.2002.00932.x,2002,article,38,"P. Chuajedong, Ureporn Kedjarune‐Leggat, D. Kertpon, Virasakdi Chongsuvivatwong, Pojjanut Benjakul",,,"Tooth wear, Dentistry, Molar, Tooth surface, Premolar, Medicine, Tooth Erosion, Tooth loss, Orthodontics, Oral health, Enamel paint"
https://openalex.org/W2973761255,A green method for preparation of curcuminoid-rich Curcuma longa extract and evaluation of its anticancer activity,https://doi.org/10.4103/pm.pm_162_19,2019,article,42,"Pharkphoom Panichayupakaranant, Likit Lateh, Supreeya Yuenyongsawad, Hạixia Chen",,,"Curcuminoid, Curcuma, Curcumin, Traditional medicine, Pharmacognosy, Chemistry, Chromatography, Medicine, Biological activity, Biochemistry, In vitro"
https://openalex.org/W4247932191,An Investigation of Students’ Learning Achievement and Perception using Flipped Classroom in an Introductory Programming course: A Case Study of Thailand Higher Education,https://doi.org/10.53761/1.16.5.4,2019,article,44,Jarutas Pattanaphanchai,,,"Flipped classroom, Mathematics education, Class (philosophy), Test (biology), Perception, Psychology, Academic achievement, Population, Academic year, Computer science, Medicine, Paleontology, Environmental health, Artificial intelligence, Neuroscience, Biology"
https://openalex.org/W1973111893,A syntenin-like protein with postsynaptic density protein (PDZ) domains produced by black tiger shrimp Penaeus monodon in response to white spot syndrome virus infection,https://doi.org/10.3354/dao049019,2002,article,31,"Phuwadol Bangrak, Potchanapond Graidist, Wilaiwan Chotigeat, K. Supamattaya, A Phongdara",,,"White spot syndrome, Penaeus monodon, Biology, PDZ domain, cDNA library, Shrimp, Complementary DNA, Postsynaptic density, Virology, Genetics, Postsynaptic potential, Fishery, Gene, Receptor"
https://openalex.org/W3205277887,Comparative analysis of Dimensions and Scopus bibliographic data sources: an approach to university research productivity,https://doi.org/10.11591/ijece.v12i1.pp706-720,2021,article,33,"Pachisa Kulkanjanapiban, Tipawan Silwattananusarn",,,"Scopus, Citation, Descriptive statistics, Productivity, Citation analysis, Citation impact, Bibliometrics, Web of science, Library science, Statistics, Computer science, Mathematics, Political science, MEDLINE, Economics, Law, Macroeconomics"
https://openalex.org/W2087482444,Study of Ascending Lumbar and Iliolumbar Veins,https://doi.org/10.1097/00007632-198701000-00014,1987,article,19,"A Arthornthurasook, Kasem Gaew-Im",,,"Medicine, Lumbar, Physical therapy, General surgery, Anatomy"
https://openalex.org/W2913002043,Biogas Production by Co-Digestion of Canteen Food Waste and Domestic Wastewater under Organic Loading Rate and Temperature Optimization,https://doi.org/10.3390/environments6020016,2019,article,37,"Cheerawit Rattanapan, Lalita Sinchai, Thunwadee Tachapattaworakul Suksaroj, Duangporn Kantachote, Weerawat Ounsaneha",,,"Mesophile, Food waste, Biogas, Anaerobic digestion, Wastewater, Pulp and paper industry, Biogas production, Waste management, Environmental science, Continuous stirred-tank reactor, Digestion (alchemy), Biodegradable waste, Sewage treatment, Chemistry, Methane, Environmental engineering, Biology, Engineering, Chromatography, Bacteria, Genetics, Organic chemistry, Physical chemistry"
https://openalex.org/W2101196984,Epidemiologic Classification of Human Papillomavirus Types Associated with Cervical Cancer,https://doi.org/10.1056/nejmoa021641,2003,article,6172,"Núbia Muñóz, F. Xavier Bosch, Sílvia de Sanjosé, Rolando Herrero, Xavier Castellsagué, Keerti V. Shah, Peter J.F. Snijders, Chris J.L.M. Meijer",,,"Medicine, Odds ratio, Cervical cancer, Confidence interval, Internal medicine, Polymerase chain reaction, Papillomaviridae, Cancer, Human papilloma virus, Typing, Primer (cosmetics), Oncology, Human papillomavirus, Case-control study, HPV infection, Gynecology, Genetics, Gene, Biology, Chemistry, Organic chemistry"
https://openalex.org/W1999022514,Randomized Study of Antiinflammatory and Immune-Modulatory Effects of Enteral Immunonutrition During Concurrent Chemoradiotherapy for Esophageal Cancer,https://doi.org/10.1080/01635581.2014.847473,2013,article,50,"Somkiat Sunpaweravong, Puttisak Puttawibul, Sakchai Ruangsin, Supparerk Laohawiriyakamol, Patrapim Sunpaweravong, Duangjai Sangthawan, Jintana Pradutkanchana, Ponpis Raungkhajorn, Alan Geater",,,"Medicine, Glutamine, Internal medicine, Immune system, Gastroenterology, Inflammation, Randomized controlled trial, Enteral administration, CD8, Tumor necrosis factor alpha, Immunology, Parenteral nutrition, Biochemistry, Chemistry, Amino acid"
https://openalex.org/W2168046503,Trace phthalate and adipate esters contaminated in packaged food,https://doi.org/10.1080/03601230701389488,2007,article,51,"Pamornrat Kueseng, Panote Thavarungkul, Proespichaya Kanatharana",,,"Phthalate, Adipate, Detection limit, Chemistry, Flame ionization detector, Contamination, Chromatography, Gas chromatography, Plasticizer, Extraction (chemistry), Environmental chemistry, Organic chemistry, Ecology, Polymer chemistry, Biology"
https://openalex.org/W2091742426,Vocabulary Learning Strategies of Thai University Students and Its Relationship to Vocabulary Size,https://doi.org/10.5296/ijele.v2i1.5366,2014,article,27,"Supika Nirattisai, Thanyapa Chiramanee",,,"Vocabulary, Vocabulary learning, Psychology, English vocabulary, Mathematics education, Test (biology), Linguistics, Paleontology, Philosophy, Biology"
https://openalex.org/W2120067424,HIV-1 protease inhibitory substances from the rhizomes of Boesenbergia pandurata Holtt.,,2003,article,51,"Supinya Tewtrakul, Sanan Subhadhirasakul, Jindaporn Puripattanavong, Tassanee Panphadung",,,"Rhizome, Traditional medicine, Human immunodeficiency virus (HIV), HIV-1 protease, Protease, Inhibitory postsynaptic potential, Chemistry, Biology, Medicine, Virology, Organic chemistry, Enzyme, Neuroscience"
https://openalex.org/W1966458530,Effects of autodisseminated<i>Metarhizium guizhouense</i>PSUM02 on mating propensity and mating competitiveness of<i>Bactrocera cucurbitae</i>(Diptera: Tephritidae),https://doi.org/10.1080/09583157.2014.1000265,2014,article,16,"Narit Thaochan, Aran Ngampongsai",,,"Tephritidae, Biology, Mating, PEST analysis, Bactrocera, Population, Integrated pest management, Botany, Sterile insect technique, Zoology, Ecology, Demography, Sociology"
https://openalex.org/W2037315571,Comparison of antimicrobial activities of naphthoquinones from<i>Impatiens balsamina</i>,https://doi.org/10.1080/14786419.2010.551297,2011,article,45,"Athip Sakunphueak, Pharkphoom Panichayupakaranant",,,"Antimicrobial, Anaerobic bacteria, Microbiology, Biology, Candida albicans, Bacteria, Genetics"
https://openalex.org/W2911924212,Fish Collagen,https://doi.org/10.1002/9781118308035.ch20,2012,other,46,"Soottawat Benjakul, Sitthipong Nalinanon, Fereidoon Shahidi",,,"Fish <Actinopterygii>, Extraction (chemistry), Raw material, Chemistry, Denaturation (fissile materials), Fish bone, Cleave, Biochemistry, Fishery, Biology, Enzyme, Chromatography, Organic chemistry, Nuclear chemistry"
https://openalex.org/W2565144343,A rapid assessment of wildlife tourism risk posed to cetaceans in Asia,https://doi.org/10.1080/09669582.2016.1257012,2016,article,35,"Putu Liza Kusuma Mustika, Riccardo Welters, Gerard E. Ryan, Coralie D’Lima, Patricia Sorongon-Yap, Suwat Jutapruet, Cindy Peter",,,"Tourism, Corporate governance, Wildlife, Excellence, Geography, Political science, Marine mammal, Management, Library science, Fishery, Ecology, Archaeology, Economics, Biology, Computer science, Law"
https://openalex.org/W2167387449,Noise Exposure Assessment in a Dental School,https://doi.org/10.5491/shaw.2011.2.4.348,2011,article,36,"Thitiworn Choosong, Wandee Kaimook, Ratchada Tantisarasart, Puwanai Sooksamear, Satith Chayaphum, Chanon Kongkamol, Wisarut Srisintorn, Pitchaya Phakthongsuk",,,"Noise (video), Medicine, Noise exposure, Dentistry, Dental laboratory, Audiology, Hearing loss, Computer science, Artificial intelligence, Image (mathematics)"
https://openalex.org/W2119070233,"A survey of medicinal plants in mangrove and beach forests from sating Phra Peninsula, Songkhla Province, Thailand",https://doi.org/10.5897/jmpr11.1395,2012,article,36,Oratai Neamsuvan,,,"Mangrove, Herbarium, Geography, Peninsula, Plant species, Herb, Biology, Traditional medicine, Forestry, Botany, Ecology, Medicinal herbs, Archaeology, Medicine"
https://openalex.org/W2182865260,"Characteristics of PAHs in Particulates in the Atmospheric Environment of Hat Yai City, Thailand, and Relationship with Rubber-wood Burning in Rubber Sheet Production",https://doi.org/10.4209/aaqr.2008.02.0004,2008,article,43,"Perapong Tekasakul, Masami Furuuchi, Surajit Tekasakul, Jiraporn Chomanee, Yoshio Ōtani",,,"Natural rubber, Environmental science, Particulates, Precipitation, Smoke, Dry season, Atmospheric sciences, Environmental engineering, Environmental chemistry, Meteorology, Chemistry, Geography, Materials science, Composite material, Geology, Organic chemistry, Cartography"
https://openalex.org/W3176704537,Antibiotic Resistance Profile and Biofilm Production of Staphylococcus pseudintermedius Isolated from Dogs in Thailand,https://doi.org/10.3390/ph14060592,2021,article,20,"Pavarish Jantorn, Hawaree Heemmamad, Tanawan Soimala, Saowakon Indoung, Jongkon Saising, Julalak Chokpaisarn, Warapond Wanna, Varomyalin Tipmanee, Dennapa Saeloh",,,"Staphylococcus pseudintermedius, Microbiology, Ciprofloxacin, Clindamycin, Antibiotic resistance, Tetracycline, Biofilm, Biology, Antibiotics, Multiple drug resistance, Veterinary medicine, Drug resistance, Staphylococcus, Medicine, Staphylococcus aureus, Bacteria, Genetics"
https://openalex.org/W3110799662,Extended-spectrum beta-lactamase <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> urinary tract infections,https://doi.org/10.1017/s0950268820003015,2020,article,47,"Prayong Vachvanichsanong, Edward McNeil, Pornsak Dissaneewate",,,"Medicine, Klebsiella pneumoniae, Odds ratio, Urinary system, Internal medicine, Beta-lactamase, Confidence interval, Retrospective cohort study, Urine, Escherichia coli, Microbiology, Biology, Biochemistry, Gene"
